,Column1,call,put,strike,Share,symbol,trade_date,ex_date,libor_rate,Implied Volatility,t,new_libor,d,vg_im_sigma,vg_im_nu,vg_im_call
0,1182.0,40.2,6.0,140.0,172.0,AAPL,06/01/2022,18/11/2022,0.030871,32.417,1.253968254,0.049827652,6.27984250180242,0.35147616447961605,0.0014072306322900306,40.2000000000003
1,12395.0,40.71,7.9,140.0,172.0,AAPL,06/01/2022,20/01/2023,0.032963,31.921,1.503968254,0.048689077,9.0754005341918,0.35147616447961605,0.0014072306322900306,40.7100000000017
2,1183.0,39.5,6.7,140.0,172.1699982,AAPL,07/01/2022,18/11/2022,0.030871,32.703,1.25,0.049845725,7.826804569170378,0.35749974198904216,0.0014013066028450867,39.4999999999999
3,12396.0,41.5,8.0,140.0,172.1699982,AAPL,07/01/2022,20/01/2023,0.032963,32.646,1.5,0.04870715,8.53378475789546,0.35749974198904216,0.0014013066028450867,41.4999999999991
4,1184.0,36.5,7.2,140.0,172.1900024,AAPL,10/01/2022,18/11/2022,0.030871,32.677,1.238095238,0.049899943,11.277562728306066,0.34913082606990353,0.0013437374762433239,36.5
5,12397.0,39.91,8.22,140.0,172.1900024,AAPL,10/01/2022,20/01/2023,0.032963,32.087,1.488095238,0.048761368,10.298813236869307,0.34913082606990353,0.0013437374762433239,39.9099999999998
6,1185.0,41.29,6.0,140.0,175.0800018,AAPL,11/01/2022,18/11/2022,0.030871,32.052,1.234126984,0.049918015,8.154434144890757,0.3557309440792774,0.001435838774434913,41.2899999999997
7,12398.0,42.33,7.05,140.0,175.0800018,AAPL,11/01/2022,20/01/2023,0.032963,31.426,1.484126984,0.04877944,9.577109369134917,0.3557309440792774,0.001435838774434913,42.3299999999993
8,1186.0,42.15,5.8,140.0,175.5299988,AAPL,12/01/2022,18/11/2022,0.030871,32.034,1.23015873,0.049936088,7.5212803755828475,0.35863004296071854,0.0014252862631041377,42.1499999999999
9,12399.0,42.95,6.95,140.0,175.5299988,AAPL,12/01/2022,20/01/2023,0.032963,31.622,1.48015873,0.048797513,9.285380995661967,0.35863004296071854,0.0014252862631041377,42.9500000000002
10,1187.0,40.0,6.5,140.0,172.1900024,AAPL,13/01/2022,18/11/2022,0.030871,32.588,1.226190476,0.049954161,7.008110246755706,0.3512211451850381,0.0014846457175684063,40.0
11,12400.0,40.71,7.4,140.0,172.1900024,AAPL,13/01/2022,20/01/2023,0.032963,32.091,1.476190476,0.048815586,8.613636912745534,0.3512211451850381,0.0014846457175684063,40.7100000000014
12,1189.0,37.5,7.0,140.0,169.8000031,AAPL,18/01/2022,18/11/2022,0.029439,33.291,1.206349206,0.050044524,7.501897217291173,0.3543635990074294,0.001364985470349331,37.5000000000001
13,12402.0,39.35,8.5,140.0,169.8000031,AAPL,18/01/2022,20/01/2023,0.032963,33.56,1.456349206,0.048905949,8.574563827614554,0.3543635990074294,0.001364985470349331,39.3499999999998
14,1193.0,31.85,10.85,140.0,161.6199951,AAPL,24/01/2022,18/11/2022,0.029439,35.069,1.182539683,0.05015296,8.681672918239457,0.3494658985539289,0.001734584327891959,31.85
15,12406.0,33.4,11.2,140.0,161.6199951,AAPL,24/01/2022,20/01/2023,0.031609,34.613,1.432539683,0.049014385,8.91292907805311,0.3494658985539289,0.001734584327891959,33.4000000000006
16,1194.0,30.55,11.3,140.0,159.7799988,AAPL,25/01/2022,18/11/2022,0.029439,35.32,1.178571429,0.050171032,8.568226384475025,0.35957064992343046,0.0015307403295637286,30.5499999999999
17,12407.0,33.67,11.76,140.0,159.7799988,AAPL,25/01/2022,20/01/2023,0.031609,34.67,1.428571429,0.049032457,7.340916416835341,0.35957064992343046,0.0015307403295637286,33.6699999999995
18,1195.0,32.0,9.45,140.0,159.6900024,AAPL,26/01/2022,18/11/2022,0.029439,35.576,1.174603175,0.050189105,5.154756807328283,0.3460478798109405,0.0015161854297219182,31.9999999999998
19,12408.0,31.27,11.95,140.0,159.6900024,AAPL,26/01/2022,20/01/2023,0.031609,35.047,1.424603175,0.04905053,9.818881402711867,0.3460478798109405,0.0015161854297219182,31.2699999999992
20,1196.0,32.38,10.4,140.0,159.2200012,AAPL,27/01/2022,18/11/2022,0.029439,35.283,1.170634921,0.050207177,5.231259165399592,0.35657981966279373,0.001590853043696466,32.3799999999996
21,12409.0,32.4,12.15,140.0,159.2200012,AAPL,27/01/2022,20/01/2023,0.031609,34.624,1.420634921,0.049068602,8.396818953117787,0.35657981966279373,0.001590853043696466,32.3999999999986
22,1197.0,37.25,8.15,140.0,170.3300018,AAPL,28/01/2022,18/11/2022,0.029439,35.383,1.166666667,0.05022525,9.197740357398146,0.3700424418903336,0.0013787802817103337,37.2499999999997
23,12410.0,40.05,9.0,140.0,170.3300018,AAPL,28/01/2022,20/01/2023,0.031609,34.843,1.416666667,0.049086675,8.684736029410544,0.3700424418903336,0.0013787802817103337,40.0499999999986
24,1198.0,40.27,6.85,140.0,174.7799988,AAPL,31/01/2022,18/11/2022,0.029439,35.072,1.154761905,0.050279468,9.25704014549828,0.37556450533333796,0.0013176932150476448,40.2699999999992
25,12411.0,42.95,7.85,140.0,174.7799988,AAPL,31/01/2022,20/01/2023,0.031609,34.482,1.404761905,0.049140893,9.018347412760278,0.37556450533333796,0.0013176932150476448,42.9499999999981
26,1200.0,41.33,6.25,140.0,175.8399963,AAPL,02/02/2022,18/11/2022,0.029439,34.062,1.146825397,0.050315613,8.609790316975989,0.3712995967310932,0.0013388011257462172,41.3299999999994
27,12413.0,42.95,7.27,140.0,175.8399963,AAPL,02/02/2022,20/01/2023,0.031609,33.36,1.396825397,0.049177038,9.453975289177805,0.3712995967310932,0.0013388011257462172,42.9499999999978
28,1201.0,41.55,6.8,140.0,172.8999939,AAPL,03/02/2022,18/11/2022,0.029439,34.181,1.142857143,0.050333686,5.976129554726441,0.37153775135151884,0.0014190291963370697,41.5499999999997
29,12414.0,41.9,7.76,140.0,172.8999939,AAPL,03/02/2022,20/01/2023,0.031609,33.804,1.392857143,0.049195111,8.031754392646604,0.37153775135151884,0.0014190291963370697,41.8999999999988
30,1202.0,40.55,6.4,140.0,172.3899994,AAPL,04/02/2022,18/11/2022,0.029439,34.221,1.138888889,0.050351758,6.042453344496437,0.3697385509169892,0.0013341170048109124,40.5500000000002
31,12415.0,42.12,7.5,140.0,172.3899994,AAPL,04/02/2022,20/01/2023,0.031609,33.843,1.388888889,0.049213183,7.019518683241586,0.3697385509169892,0.0013341170048109124,42.1200000000006
32,1203.0,40.59,6.4,140.0,171.6600037,AAPL,07/02/2022,18/11/2022,0.029439,34.309,1.126984127,0.050405976,5.201273523812517,0.36885144516496493,0.0013459331385241905,40.5900000000005
33,12416.0,40.75,8.02,140.0,171.6600037,AAPL,07/02/2022,20/01/2023,0.031609,33.622,1.376984127,0.049267401,8.112664431296366,0.36885144516496493,0.0013459331385241905,40.7500000000175
34,1205.0,42.15,5.65,140.0,176.2799988,AAPL,09/02/2022,18/11/2022,0.029439,33.482,1.119047619,0.050442121,7.463696307473612,0.37449050877557166,0.0012754717893173606,42.1499999999999
